date,winner_short,loser_short,atp,location,tournament,series,court,surface_x,round_x,best of,winner,loser,wrank,lrank,wpts,lpts,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,wsets,lsets,comment,b365w,b365l,exw,exl,lbw,lbl,psw,psl,sjw,sjl,maxw,maxl,avgw,avgl,source_file,source_year,bfew,bfel,b365w_prob,b365l_prob,b365w_prob_norm,b365l_prob_norm,rank_diff,match_date,surface_y,round_y,elo_global_w_before,elo_global_l_before,elo_global_diff,elo_surface_w_before,elo_surface_l_before,elo_surface_diff,h2h_w_before,h2h_l_before,h2h_diff,wins_last5,wins_last10,winpct_last10,date_diff,elo_implied_prob
2011-11-22,tsonga j,fish m,65,London,Masters Cup,Masters Cup,Indoor,Hard,Round Robin,3.0,tsonga j.w.,fish m.,6.0,8.0,3535.0,2965.0,7.0,6.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.45,2.65,1.44,2.75,1.55,2.68,1.44,2.75,1.55,2.94,1.47,2.65,2011.xls,2011,,,0.6944444444444444,0.3636363636363636,0.6563245823389022,0.3436754176610979,2.0,2011-11-20,Hard,RR,1678.3785840926378,1633.0359721341056,45.34261195853219,1695.316690577757,1663.1360850239823,32.18060555377474,1.0,0.0,1.0,3.0,7.0,0.7,2.0,0.564885307063425
2011-11-23,berdych t,tipsarevic j,65,London,Masters Cup,Masters Cup,Indoor,Hard,Round Robin,3.0,berdych t.,tipsarevic j.,7.0,9.0,3300.0,2395.0,2.0,6.0,6.0,3.0,7.0,6.0,,,,,2.0,1.0,Completed,1.4,2.87,1.45,2.65,1.44,2.63,1.53,2.72,1.9,1.9,1.9,2.88,1.48,2.63,2011.xls,2011,,,0.7142857142857143,0.3484320557491289,0.6721311475409837,0.3278688524590163,2.0,2011-11-20,Hard,RR,1662.2673139600113,1585.8981974222622,76.36911653774905,1696.7615602590306,1618.2597751477,78.50178511133072,1.0,3.0,-2.0,3.0,6.0,0.6,3.0,0.6081675210589503
2011-11-23,ferrer d,djokovic n,65,London,Masters Cup,Masters Cup,Indoor,Hard,Round Robin,3.0,ferrer d.,djokovic n.,5.0,1.0,4480.0,13475.0,6.0,3.0,6.0,1.0,,,,,,,2.0,0.0,Completed,3.6,1.28,3.7,1.25,3.5,1.29,3.79,1.32,3.5,1.29,3.85,1.34,3.51,1.29,2011.xls,2011,,,0.2777777777777778,0.78125,0.2622950819672131,0.7377049180327869,-4.0,2011-11-20,Hard,RR,1681.7872185020692,1910.5001780115244,-228.71295950945523,1693.797040870959,1917.767457508286,-223.9704166373269,4.0,6.0,-2.0,3.0,7.0,0.7,3.0,0.21138825054118762
2011-11-24,federer r,fish m,65,London,Masters Cup,Masters Cup,Indoor,Hard,Round Robin,3.0,federer r.,fish m.,4.0,8.0,6670.0,2965.0,6.0,1.0,3.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,1.07,8.5,1.08,7.0,1.07,8.0,1.09,9.85,1.06,8.5,1.12,10.0,1.08,7.8,2011.xls,2011,,,0.9345794392523364,0.1176470588235294,0.8881922675026124,0.1118077324973876,4.0,2011-11-20,Hard,RR,1853.137920175497,1641.997757586103,211.1401625893941,1884.776186800548,1672.0774224220872,212.69876437846096,6.0,1.0,5.0,5.0,10.0,1.0,4.0,0.771256634549643
2011-11-24,tsonga j,nadal r,65,London,Masters Cup,Masters Cup,Indoor,Hard,Round Robin,3.0,tsonga j.w.,nadal r.,6.0,2.0,3535.0,9375.0,7.0,6.0,4.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,1.8,2.0,1.75,2.0,1.83,1.83,1.98,1.94,1.91,1.83,2.0,2.2,1.84,1.93,2011.xls,2011,,,0.5555555555555556,0.5,0.5263157894736842,0.4736842105263157,-4.0,2011-11-20,Hard,RR,1690.6238756825155,1813.169155261045,-122.54527957852952,1708.143625717499,1776.6452266238557,-68.50160090635654,2.0,6.0,-4.0,3.0,7.0,0.7,4.0,0.3306100181505865
2011-11-25,berdych t,ferrer d,65,London,Masters Cup,Masters Cup,Indoor,Hard,Round Robin,3.0,berdych t.,ferrer d.,7.0,5.0,3300.0,4480.0,3.0,6.0,7.0,5.0,6.0,1.0,,,,,2.0,1.0,Completed,2.15,1.7,1.95,1.8,2.1,1.73,2.12,1.82,2.0,1.8,2.15,1.83,2.04,1.75,2011.xls,2011,,,0.4651162790697674,0.5882352941176471,0.4415584415584415,0.5584415584415584,-2.0,2011-11-20,Hard,RR,1673.1436859721648,1678.8435074364993,-5.699821464334491,1707.5099467845569,1690.1503178174848,17.359628967072013,2.0,5.0,-3.0,3.0,6.0,0.6,5.0,0.49179803334489863
2011-11-25,tipsarevic j,djokovic n,65,London,Masters Cup,Masters Cup,Indoor,Hard,Round Robin,3.0,tipsarevic j.,djokovic n.,9.0,1.0,2395.0,13475.0,3.0,6.0,6.0,3.0,6.0,3.0,,,,,2.0,1.0,Completed,3.5,1.3,3.3,1.3,3.4,1.33,3.71,1.33,3.75,1.25,3.75,1.35,3.48,1.3,2011.xls,2011,,,0.2857142857142857,0.7692307692307692,0.2708333333333333,0.7291666666666667,-8.0,2011-11-20,Hard,RR,1571.7736598987265,1941.0289506003055,-369.25529070157927,1604.1963672867669,1947.826576479698,-343.63020919293103,0.0,2.0,-2.0,3.0,8.0,0.8,5.0,0.10663301130685035
2011-11-26,federer r,ferrer d,65,London,Masters Cup,Masters Cup,Indoor,Hard,Semifinals,3.0,federer r.,ferrer d.,4.0,5.0,6670.0,4480.0,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.08,8.0,1.11,6.0,1.1,7.0,1.12,8.08,1.1,7.0,1.14,8.8,1.1,7.0,2011.xls,2011,,,0.9259259259259258,0.125,0.8810572687224669,0.118942731277533,1.0,2011-11-20,Hard,SF,1845.0928092869244,1705.341007266249,139.7518020206753,1877.5554584528968,1717.192039003238,160.36341944965875,11.0,0.0,11.0,5.0,10.0,1.0,6.0,0.6909311344418866
2011-11-26,tsonga j,berdych t,65,London,Masters Cup,Masters Cup,Indoor,Hard,Semifinals,3.0,tsonga j.w.,berdych t.,6.0,7.0,3535.0,3300.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.66,2.2,1.6,2.25,1.57,2.38,1.7,2.31,1.62,2.25,1.73,2.38,1.63,2.23,2011.xls,2011,,,0.6024096385542169,0.4545454545454545,0.5699481865284974,0.4300518134715025,1.0,2011-11-20,Hard,SF,1674.724425531358,1687.7330052191558,-13.008579687797692,1690.243452210026,1721.0036609853034,-30.760208775277302,0.0,1.0,-1.0,3.0,7.0,0.7,6.0,0.48128789218887325
2011-11-27,federer r,tsonga j,65,London,Masters Cup,Masters Cup,Indoor,Hard,The Final,3.0,federer r.,tsonga j.w.,4.0,6.0,6670.0,3535.0,6.0,3.0,6.0,7.0,6.0,3.0,,,,,2.0,1.0,Completed,1.25,4.0,1.28,3.5,1.25,4.0,1.29,4.08,1.25,4.0,1.34,4.35,1.26,3.81,2011.xls,2011,,,0.8,0.25,0.7619047619047619,0.238095238095238,2.0,2011-11-20,Hard,F,1869.6241821754536,1710.353731226014,159.2704509494397,1898.3722067526664,1725.5498462537566,172.82236049890955,6.0,3.0,3.0,5.0,10.0,1.0,7.0,0.7143966571541461
